Supported,Generic Command,Redis Version,Note
-,COPY,6.2.0,
O,DEL,1.0.0,
-,DUMP,2.6.0,
O,EXISTS,1.0.0,
O,EXPIRE,1.0.0,
O,EXPIREAT,1.2.0,
-,EXPIRETIME,7.0.0,
O,KEYS,1.0.0,
-,MOVE,1.0.0,
-,MIGRATE,2.6.0,
-,OBJECT ENCODING,2.2.3,
-,OBJECT FREQ,4.0.0,
-,OBJECT HELP,6.2.0,
-,OBJECT IDLETIME,2.6.0,
-,OBJECT REFCOUNT,2.2.3,
-,PERSIST,2.2.0,
-,PEXPIRE,2.6.0,
-,PEXPIREAT,2.6.0,
-,PEXPIRETIME,7.0.0,
-,PTTL,2.6.0,
-,RANDOMKEY,1.0.0,
O,RENAME,1.0.0,
O,RENAMENX,1.0.0,
-,RESTORE,2.8.0,
-,SCAN,2.8.0,
-,SORT,1.0.0,
-,SORT_RO,7.0.0,
-,TOUCH,3.2.1,
O,TTL,1.0.0,
O,TYPE,1.0.0,
-,UNLINK,4.0.0,
-,WAIT,3.0.0,
