Supported,Sorted Set Command,Redis Version,Note
-,BZMPOP,7.0.0,
-,BZPOPMAX,5.0.0,
-,BZPOPMIN,5.0.0,
O,ZADD,1.2.0,
O,ZCARD,1.2.0,
-,ZCOUNT,2.0.0,
-,ZDIFF,6.2.0,
-,ZDIFFSTORE,6.2.0,
O,ZINCRBY,1.2.0,
-,ZINTER,6.2.0,
-,ZINTERCARD,7.0.0,
-,ZINTERSTORE,2.0.0,
-,ZLEXCOUNT,2.8.9,
-,ZMPOP,7.0.0,
-,ZMSCORE,6.2.0,
-,ZPOPMAX,5.0.0,
-,ZPOPMIN,5.0.0,
-,ZRANDMEMBER,6.2.0,
O,ZRANGE,1.2.0,
-,ZRANGEBYLEX,2.8.9,
O,ZRANGEBYSCORE,1.0.5,
-,ZRANGESTORE,6.2.0,
-,ZRANK,2.0.0,
O,ZREM,1.2.0,
-,ZREMRANGEBYLEX,2.8.9,
-,ZREMRANGEBYRANK,2.0.0,
-,ZREMRANGEBYSCORE,1.2.0,
O,ZREVRANGE,1.2.0,
-,ZREVRANGEBYLEX,2.8.9,
-,ZREVRANGEBYSCORE,2.2.0,
-,ZREVRANK,2.0.0,
-,ZSCAN,2.8.0,
O,ZSCORE,1.2.0,
-,ZUNION,6.2.0,
-,ZUNIONSTORE,2.0.0,
